sequence,DAMDPA_nominal_dose,DAMDPA_nominal_hold,DAMDPA_nominal_duration,DAMDPA_exposure,DAMDPA_mean_pressure,DAMDPA_leak_rate,TDIC_nominal_dose,TDIC_nominal_hold,TDIC_nominal_duration,TDIC_exposure,TDIC_mean_pressure,TDIC_leak_rate
1,30,0,30,5962.6998,186.346,,30,0,30,2254.7861,70.4643,
2,30,0,30,5618.485,175.5831,,30,0,30,1889.6721,59.0523,
3,30,0,30,5575.262,174.2269,,30,0,30,1932.6792,60.3981,
4,30,0,30,5435.1834,169.8495,,30,0,30,1965.4284,61.2264,
5,30,0,30,5330.5621,167.1023,,30,0,30,1966.7672,61.2719,
6,30,0,30,5012.1143,156.6335,,30,0,30,1940.2008,60.6332,
7,30,0,30,5136.9397,160.5294,,30,0,30,1932.9799,60.4056,
8,30,0,30,5031.9543,157.2437,,30,0,30,1919.2565,59.9749,
9,30,0,30,5825.8925,182.0705,,30,0,30,1995.8409,62.3739,
10,30,0,30,5979.2968,186.2709,,30,0,30,2030.5574,63.4549,
11,30,0,30,5480.9669,171.2802,,30,0,30,2016.9324,63.0291,
12,30,0,30,5330.1401,166.5721,,30,0,30,1979.9721,61.8722,
13,30,0,30,5406.6343,168.9573,,30,0,30,2031.0228,63.4695,
14,30,0,30,5519.0437,172.4701,,30,0,30,1972.5226,61.6433,
15,30,0,30,5796.9963,181.1561,,30,0,30,2020.5941,63.1416,
16,30,0,30,5339.2637,166.3374,,30,0,30,2040.0656,63.756,
17,30,0,30,6501.0603,203.1518,,30,0,30,2055.1035,64.224,
18,30,0,30,5441.5866,170.0496,,30,0,30,2081.3335,64.837,
19,30,0,30,5971.6045,186.6126,,30,0,30,2036.9023,63.6512,
20,30,0,30,5639.1552,176.2236,,30,0,30,2056.1002,64.2531,
21,60,0,60,11229.3025,181.1265,,60,0,60,5459.2368,88.0508,
22,60,0,60,10969.9507,176.9375,,60,0,60,5286.9388,85.2746,
23,60,0,60,10725.2343,172.9904,,60,0,60,5288.4538,85.2976,
24,60,0,60,10945.4946,176.5402,,60,0,60,5377.255,86.7313,
25,60,0,60,10845.4758,174.651,,60,0,60,5313.5052,85.8401,
26,60,0,60,10620.5698,171.294,,60,0,60,5344.0435,86.1942,
27,60,0,60,10563.3062,170.3951,,60,0,60,5336.6302,85.9388,
28,60,0,60,10780.5293,173.8683,,60,0,60,5282.4689,85.197,
29,60,0,60,9610.9864,155.0134,,60,0,60,5229.2811,84.4727,
30,60,0,60,10161.2209,164.1316,,60,0,60,5287.2443,85.2781,
31,60,0,60,9787.1751,157.8628,,60,0,60,5242.1336,84.5451,
32,60,0,60,11348.7924,183.0126,,60,0,60,5326.2959,85.9108,
33,60,0,60,9701.737,156.2528,,60,0,60,5245.0316,84.7216,
34,60,0,60,9757.0356,157.3817,,60,0,60,5346.1881,86.2233,
35,60,0,60,9806.3885,158.4103,,60,0,60,5327.2835,86.0544,
36,60,0,60,10713.8547,173.0833,,60,0,60,5409.9553,87.2602,
37,60,0,60,10077.1781,162.276,,60,0,60,5420.4159,87.4261,
38,60,0,60,10401.1393,167.7549,,60,0,60,5344.4794,86.1985,
39,60,0,60,9990.1731,161.1422,,60,0,60,5344.9571,86.2034,
40,60,0,60,10369.7321,167.251,,60,0,60,5414.8658,87.1931,
41,180,0,180,33890.7259,186.2128,,180,0,180,21913.12,120.4084,
42,180,0,180,33111.142,181.9403,,180,0,180,21266.4292,116.8504,
43,180,0,180,34433.6052,189.1894,,180,0,180,21150.1084,116.2094,
44,180,0,180,33874.601,186.0189,,180,0,180,21148.3496,116.1978,
45,180,0,180,33493.5631,184.1368,,180,0,180,21231.905,116.6556,
46,180,0,180,33378.9453,183.4028,,180,0,180,21326.029,117.1779,
47,180,0,180,33179.2875,182.3038,,180,0,180,21417.1403,117.6081,
48,180,0,180,33543.4338,184.4059,,180,0,180,21323.2948,117.1565,
49,180,0,180,33931.1945,186.3409,,180,0,180,21223.7333,116.6703,
