Parameters vs. Time
"Time (min.)	Thickness # 2"
"5.540308	0.172921	"
"26.247242	4.757156	"
"46.956123	10.710728	"
"67.661598	16.748280	"
"88.367340	23.499424	"
"109.072975	30.229568	"
"129.788910	36.663311	"
"150.494781	43.073517	"
"171.210602	49.242550	"
"191.916351	55.176109	"
"212.622009	60.731041	"
"233.327515	66.254845	"
"254.043182	71.450638	"
"274.748688	76.274704	"
"295.464294	80.971809	"
"316.169800	85.366615	"
"336.875305	91.321396	"
"357.590942	97.456985	"
"378.306610	103.216087	"
"399.012085	108.900742	"
"419.727753	114.023773	"
"440.434357	119.112793	"
"461.150085	125.020554	"
"481.855804	131.304825	"
"502.561462	136.967957	"
"523.277100	143.551880	"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
"		"
